ID,Distance,Date,SellerG,Propertycount,Car,Method,CouncilArea,Suburb,Bathroom,Regionname,Address,Type,Postcode,BuildingArea,Lattitude,Bedroom2,Landsize,YearBuilt,Longtitude,Rooms,Price
19,13.5,7/05/2016,Barry,3464.0,1.0,S,Moonee Valley City Council,Airport West,1.0,Western Metropolitan,2/252 Parer Rd,t,3042.0,90.0,-37.7216,2.0,110.0,2015.0,144.871,2.0,450000.0
20,3.8,30/07/2016,Biggin,8648.0,2.0,S,Melbourne City Council,Port Melbourne,1.0,Southern Metropolitan,176 Dow St,h,3207.0,95.0,-37.8401,3.0,116.0,1910.0,144.94299999999998,3.0,1080000.0
21,11.2,10/12/2016,Nelson,21650.0,,S,Darebin City Council,Reservoir,,Northern Metropolitan,15 Coleman Cr,h,3073.0,,,,,,,3.0,770000.0
22,10.1,16/09/2017,Ray,7822.0,,S,Glen Eira City Council,Carnegie,,Southern Metropolitan,3/14 Arawatta St,t,3163.0,,,,,,,2.0,798000.0
23,3.5,19/08/2017,RT,8648.0,,S,Melbourne City Council,Port Melbourne,1.0,Southern Metropolitan,360 Howe Pde,h,3207.0,,-37.83674,3.0,340.0,,144.9242,3.0,1230000.0
24,14.2,24/02/2018,Jellis,13366.0,2.0,PI,Monash City Council,Mount Waverley,2.0,Eastern Metropolitan,49 Bruce St,h,3149.0,255.0,-37.88192,5.0,805.0,1994.0,145.13394,5.0,1760000.0
25,11.2,11/02/2017,Brad,2291.0,1.0,S,Moonee Valley City Council,Niddrie,1.0,Western Metropolitan,5 Hamilton St,h,3042.0,139.0,-37.7368,3.0,716.0,1950.0,144.8856,3.0,991000.0
26,27.2,15/07/2017,hockingstuart,5262.0,,S,Wyndham City Council,Wyndham Vale,,Western Metropolitan,3/20 Lady Penrhyn Dr,h,3024.0,,,,,,,2.0,327500.0
27,5.7,17/03/2018,Collins,2211.0,,S,Darebin City Council,Alphington,,Northern Metropolitan,22a Lowther St,h,3078.0,,,,,,,4.0,1816000.0
28,11.2,22/04/2017,Harcourts,21650.0,,S,Darebin City Council,Reservoir,,Northern Metropolitan,1/6 Corvey Rd,u,3073.0,,,,,,,3.0,640000.0
29,1.2,7/05/2016,Cayzer,8400.0,1.0,S,Melbourne City Council,Southbank,1.0,Southern Metropolitan,2/95 Dodds St,u,3006.0,,-37.828,2.0,0.0,1995.0,144.9683,2.0,623000.0
30,12.4,24/06/2017,Jellis,5420.0,2.0,S,Manningham City Council,Templestowe Lower,1.0,Eastern Metropolitan,20 Fyfe Dr,h,3107.0,,-37.77158,3.0,656.0,,145.11816000000002,3.0,1181000.0
31,10.1,23/09/2017,Woodards,4442.0,1.0,SP,Glen Eira City Council,Murrumbeena,1.0,Southern Metropolitan,21 Reid St,h,3163.0,200.0,-37.905840000000005,3.0,586.0,1945.0,145.0725,3.0,1321188.0
32,20.4,3/03/2018,HAR,4864.0,2.0,S,Hume City Council,Greenvale,2.0,Northern Metropolitan,12 Dorrington St,t,3059.0,,-37.62514,3.0,200.0,,144.88173,3.0,516000.0
33,1.6,29/07/2017,Nelson,6786.0,0.0,S,Melbourne City Council,Carlton,1.0,Northern Metropolitan,66 Palmerston St,h,3053.0,,-37.79633,3.0,98.0,,144.97269,3.0,920000.0
34,4.4,13/05/2017,Nelson,3593.0,1.0,PI,Melbourne City Council,Flemington,1.0,Northern Metropolitan,20 Bryant St,h,3031.0,200.0,-37.7859,5.0,432.0,1915.0,144.9323,5.0,1550000.0
35,8.7,27/05/2017,hockingstuart,5051.0,2.0,S,Glen Eira City Council,Caulfield South,1.0,Southern Metropolitan,14 Stone St,h,3162.0,,-37.89694,4.0,584.0,,145.02176,4.0,1550000.0
36,11.2,6/01/2018,Stockdale,8870.0,,SP,Moreland City Council,Glenroy,,Northern Metropolitan,1/8 Apsley St,t,3046.0,,,,,,,3.0,765000.0
37,10.1,23/09/2017,Ray,2403.0,1.0,PI,Glen Eira City Council,Glen Huntly,1.0,Southern Metropolitan,12/8 Rosedale Av,u,3163.0,,-37.89092,1.0,,,145.04391999999999,1.0,275000.0
38,17.9,10/02/2018,HAR,10529.0,1.0,S,Whittlesea City Council,Mill Park,2.0,Northern Metropolitan,40 Redleap Av,h,3082.0,,-37.66605,4.0,610.0,,145.06576,4.0,737000.0
39,13.8,17/02/2018,Buxton,2356.0,2.0,SP,Bayside City Council,Hampton East,2.0,Southern Metropolitan,4 Kelsall Ct,h,3188.0,191.0,-37.94212,4.0,1015.0,1965.0,145.03043,4.0,1710000.0
40,7.2,15/07/2017,Buxton,4898.0,2.0,VB,Glen Eira City Council,Elsternwick,2.0,Southern Metropolitan,307/242 Glen Huntly Rd,u,3185.0,,-37.88472,3.0,0.0,,145.00025,3.0,900000.0
41,2.3,22/08/2016,Alexkarbon,6821.0,1.0,S,Melbourne City Council,North Melbourne,1.0,Northern Metropolitan,3/369 Abbotsford St,u,3051.0,,-37.7981,2.0,0.0,1970.0,144.9461,2.0,540000.0
42,4.4,3/09/2016,Nelson,3593.0,1.0,S,Melbourne City Council,Flemington,1.0,Northern Metropolitan,96 Bryant St,h,3031.0,,-37.7835,2.0,168.0,,144.9339,2.0,865500.0
43,3.4,9/12/2017,Edward,5263.0,,S,Melbourne City Council,Kensington,,Northern Metropolitan,18 Peppercorn Wk,t,3031.0,,,,,,,4.0,1085000.0
44,10.5,6/01/2018,Barry,6763.0,0.0,PI,Brimbank City Council,Sunshine West,1.0,Western Metropolitan,22 Dinnell St,h,3020.0,,-37.79135,3.0,,,144.80517,3.0,555000.0
45,5.1,10/09/2016,Paul,4380.0,2.0,S,Port Phillip City Council,Windsor,1.0,Southern Metropolitan,115 Albert St,h,3181.0,112.0,-37.856,3.0,317.0,1900.0,144.9891,3.0,1370000.0
46,20.0,28/10/2017,Buxton,6162.0,3.0,VB,Kingston City Council,Mentone,3.0,South-Eastern Metropolitan,1A Brindisi St,h,3194.0,,-37.98377,5.0,640.0,,145.06095,5.0,2000000.0
47,3.2,18/03/2017,Nelson,3106.0,0.0,S,Melbourne City Council,Carlton North,1.0,Northern Metropolitan,119 Curtain St,h,3054.0,,-37.7888,1.0,93.0,,144.9698,1.0,885000.0
48,1.8,7/05/2016,Woodards,6786.0,2.0,SP,Melbourne City Council,Carlton,2.0,Northern Metropolitan,254 Faraday St,h,3053.0,106.0,-37.7983,2.0,100.0,1900.0,144.9655,3.0,1590000.0
49,14.7,,hockingstuart,15542.0,2.0,S,Wyndham City Council,Point Cook,2.0,Western Metropolitan,19 Tobago Av,h,3030.0,193.0,-37.911429999999996,3.0,,2010.0,144.74121,3.0,753000.0
50,9.7,9/09/2017,Fletchers,7809.0,1.0,S,Boroondara City Council,Balwyn North,3.0,Southern Metropolitan,286 Balwyn Rd,h,3104.0,,-37.79609,4.0,747.0,,145.08478,4.0,1950000.0
51,20.6,6/01/2018,Barry,15510.0,2.0,S,Hume City Council,Craigieburn,2.0,Northern Metropolitan,13 Nobility Rd,h,3064.0,,-37.5924,4.0,399.0,,144.89019,4.0,640000.0
52,3.6,28/10/2017,Nelson,2954.0,3.0,PI,Yarra City Council,Clifton Hill,2.0,Northern Metropolitan,25 Hodgkinson St,h,3068.0,218.0,-37.79165,5.0,,1875.0,144.98677,5.0,3025000.0
53,20.6,10/02/2018,YPA,15510.0,0.0,SA,Hume City Council,Craigieburn,1.0,Northern Metropolitan,1 Bee Ct,h,3064.0,104.0,-37.59706,3.0,583.0,1985.0,144.94012,3.0,520000.0
54,3.1,15/07/2017,Whiting,2230.0,2.0,VB,Melbourne City Council,West Melbourne,1.0,Northern Metropolitan,74 Dudley St,h,3003.0,,-37.808840000000004,4.0,168.0,,144.95291,4.0,1900000.0
55,14.6,30/07/2016,Hodges,2555.0,2.0,S,Kingston City Council,Moorabbin,2.0,Southern Metropolitan,1/1 Perry St,t,3189.0,187.0,-37.9387,3.0,220.0,2015.0,145.0398,,1105000.0
56,7.8,10/09/2016,Marshall,8920.0,,S,Boroondara City Council,Camberwell,,Southern Metropolitan,14 Marlborough Av,h,3124.0,,,,,,,5.0,3360000.0
57,23.5,15/07/2017,Barry,11667.0,1.0,S,Knox City Council,Rowville,2.0,South-Eastern Metropolitan,3 Barwon Ct,h,3178.0,143.0,-37.91713,3.0,721.0,1984.0,145.24706,3.0,735000.0
58,8.2,28/05/2016,Sweeney,5058.0,1.0,S,Maribyrnong City Council,West Footscray,1.0,Western Metropolitan,18 Molesworth Ct,h,3012.0,,-37.7943,3.0,321.0,,144.8741,3.0,660000.0
59,11.2,6/01/2018,Brad,2651.0,,PI,Moreland City Council,Oak Park,,Northern Metropolitan,3/154 Waterloo Rd,t,3046.0,,,,,,,2.0,580000.0
60,11.8,3/09/2016,Jellis,2079.0,2.0,S,Boroondara City Council,Mont Albert,2.0,Eastern Metropolitan,17 Rowland St,h,3127.0,,-37.82,4.0,1388.0,,145.1118,4.0,2850000.0
61,10.5,28/08/2016,Barry,4502.0,3.0,S,Moonee Valley City Council,Avondale Heights,2.0,Western Metropolitan,235 Military Rd,h,3034.0,,-37.7546,3.0,638.0,,144.8585,3.0,863000.0
62,7.7,15/10/2016,Chisholm,8989.0,1.0,S,Port Phillip City Council,Elwood,1.0,Southern Metropolitan,1/125 Glen Huntly Rd,u,3184.0,,-37.8828,2.0,0.0,1960.0,144.9897,2.0,630000.0
63,13.1,17/09/2016,Fletchers,4605.0,1.0,S,Whitehorse City Council,Box Hill,1.0,Eastern Metropolitan,2/4 Collins St,u,3128.0,108.0,-37.8275,3.0,211.0,1980.0,145.1232,3.0,775000.0
64,,27/11/2016,Barry,9028.0,2.0,S,Manningham City Council,Doncaster,2.0,Eastern Metropolitan,394 Manningham Rd,h,3108.0,150.0,-37.7794,3.0,649.0,1965.0,145.1224,3.0,1202000.0
65,29.8,3/06/2017,Raine,4718.0,1.0,S,Melton City Council,Melton South,2.0,Western Victoria,1 Tamar Dr,h,3338.0,147.0,-37.69791,4.0,766.0,1980.0,144.5807,4.0,355000.0
66,14.8,21/10/2017,HAR,2674.0,,S,Brimbank City Council,Cairnlea,,Western Metropolitan,40 Lakewood Bvd,h,3023.0,,,,,,,4.0,733000.0
67,17.3,9/09/2017,Chisholm,2866.0,4.0,S,Bayside City Council,Black Rock,2.0,Southern Metropolitan,18 Iluka St,h,3193.0,,,4.0,823.0,,145.02535,4.0,2000000.0
68,0.7,3/02/2018,MICM,8400.0,,,Melbourne City Council,Southbank,,Southern Metropolitan,191/173 City Rd,u,3006.0,,,,,,,3.0,801000.0
69,10.5,25/02/2017,Edward,4502.0,3.0,S,Moonee Valley City Council,Avondale Heights,1.0,Western Metropolitan,2 Drake Ct,h,3034.0,117.0,-37.765,3.0,812.0,1960.0,144.8578,3.0,875000.0
70,23.2,4/11/2017,hockingstuart,5030.0,2.0,SP,Knox City Council,Bayswater,1.0,Eastern Metropolitan,9 Warrien Ct,h,3153.0,99.0,-37.852,3.0,721.0,1965.0,145.2678,3.0,750000.0
71,0.0,18/11/2017,Marshall,17496.0,,S,Melbourne City Council,Melbourne,,Northern Metropolitan,307/19 Queens Rd,u,3000.0,,,,,,,2.0,844000.0
72,8.0,22/05/2016,Sweeney,6380.0,2.0,PI,Hobsons Bay City Council,Williamstown,2.0,Western Metropolitan,116a Hannan St,h,3016.0,158.0,-37.8593,3.0,289.0,,144.8881,3.0,975000.0
73,7.7,17/09/2016,Williams,1223.0,3.0,S,Hobsons Bay City Council,Spotswood,1.0,Western Metropolitan,13 Abbott St,h,3015.0,,-37.8255,2.0,459.0,,144.8709,3.0,835000.0
74,8.2,8/04/2017,Sweeney,5058.0,1.0,VB,Maribyrnong City Council,West Footscray,1.0,Western Metropolitan,17 Braid St,h,3012.0,,,2.0,452.0,1950.0,144.8772,2.0,650000.0
75,38.0,3/06/2017,hockingstuart,17055.0,,S,Frankston City Council,Frankston,,South-Eastern Metropolitan,25 Gretana Cr,h,3199.0,,,,,,,3.0,495000.0
76,15.5,9/12/2017,hockingstuart,6202.0,2.0,S,Manningham City Council,Templestowe,2.0,Eastern Metropolitan,239 Serpells Rd,h,3106.0,,-37.76744,3.0,609.0,,145.15543,3.0,1550000.0
77,8.8,6/08/2016,Love,14577.0,0.0,S,Darebin City Council,Preston,2.0,Northern Metropolitan,5 Newman St,h,3072.0,,-37.7484,2.0,3037.0,,144.9949,2.0,942000.0
78,14.7,3/03/2018,Barry,16166.0,2.0,SP,Wyndham City Council,Werribee,2.0,Western Metropolitan,22 Albany Ct,h,3030.0,277.0,-37.87267,3.0,387.0,,144.65636999999998,3.0,500000.0
79,11.0,1/07/2017,hockingstuart,852.0,,SP,Hobsons Bay City Council,Seaholme,,Western Metropolitan,6/24 Noordenne Av,t,3018.0,,,,,,,,455000.0
80,13.9,10/12/2016,Barry,9028.0,1.0,S,Manningham City Council,Doncaster,2.0,Eastern Metropolitan,5/333 George St,u,3108.0,109.0,-37.7776,3.0,,1986.0,145.1267,3.0,772000.0
81,16.3,22/07/2017,Love,8279.0,2.0,S,Whittlesea City Council,Lalor,1.0,Northern Metropolitan,69 Monash St,h,3075.0,104.0,-37.6615,3.0,535.0,1970.0,145.02761,3.0,560000.0
82,15.2,18/11/2017,McGrath,4497.0,,S,Bayside City Council,Sandringham,,Southern Metropolitan,1/200 Bay Rd,t,3191.0,,,,,,,3.0,1064000.0
83,12.4,25/11/2017,Barry,9028.0,,S,Manningham City Council,Doncaster,,Eastern Metropolitan,13 Soderlund Dr,h,3108.0,,,,,,,4.0,1400000.0
84,6.2,10/02/2018,Ray,6232.0,,S,Moonee Valley City Council,Moonee Ponds,1.0,Western Metropolitan,48 Athol St,,3039.0,,-37.769659999999995,3.0,,,144.91613,3.0,1360000.0
85,10.4,27/05/2017,Nelson,2291.0,,VB,Moonee Valley City Council,Niddrie,,Western Metropolitan,57A Coghlan St,h,3042.0,,,,,,,3.0,1200000.0
86,3.8,7/11/2016,Marshall,8648.0,1.0,S,Melbourne City Council,Port Melbourne,2.0,Southern Metropolitan,255 Ross St,h,3207.0,158.0,-37.8331,4.0,212.0,1900.0,144.9412,4.0,1820000.0
87,2.7,3/06/2017,Jellis,14887.0,1.0,VB,Melbourne City Council,South Yarra,2.0,Southern Metropolitan,3/44 Walsh St,u,3141.0,,-37.8369,3.0,0.0,1940.0,144.98514,3.0,2400000.0
88,13.3,10/12/2016,Sweeney,4217.0,2.0,S,Brimbank City Council,Sunshine North,1.0,Western Metropolitan,6 Middlesex St,h,3020.0,,,3.0,692.0,,144.8428,3.0,808000.0
89,8.0,25/02/2017,RT,6380.0,2.0,S,Hobsons Bay City Council,Williamstown,,Western Metropolitan,18A Rennie St,h,3016.0,,-37.8555,2.0,183.0,,144.8952,2.0,811000.0
90,12.3,3/09/2017,Buxton,768.0,3.0,S,Monash City Council,Huntingdale,1.0,Southern Metropolitan,3 Worcester St,h,3166.0,,-37.9028,3.0,594.0,,145.10605,3.0,1080000.0
91,10.4,28/10/2017,Nelson,3464.0,3.0,S,Moonee Valley City Council,Airport West,1.0,Western Metropolitan,130 Victory Rd,h,3042.0,,-37.71734,3.0,611.0,,144.88022,3.0,912000.0
92,3.5,3/03/2018,Harrington,3106.0,,S,Melbourne City Council,Carlton North,,Northern Metropolitan,10/1072 Lygon St,u,3054.0,,,,,,,2.0,665000.0
93,10.5,26/08/2017,Bells,6763.0,1.0,S,Brimbank City Council,Sunshine West,,Western Metropolitan,16 Mudford St,h,3020.0,,-37.797979999999995,3.0,616.0,,144.81529,3.0,640000.0
94,8.8,23/09/2017,Fletchers,2947.0,2.0,S,Banyule City Council,Heidelberg Heights,2.0,Eastern Metropolitan,2/157 Porter Rd,u,3081.0,,-37.73264,3.0,,,145.05818,3.0,870000.0
95,10.7,19/11/2016,Hodges,6938.0,2.0,SP,Bayside City Council,Brighton East,3.0,Southern Metropolitan,206 South Rd,h,3187.0,,-37.9311,4.0,798.0,,145.0169,4.0,1725000.0
96,8.4,27/05/2017,hockingstuart,14577.0,2.0,S,Darebin City Council,Preston,1.0,Northern Metropolitan,428 Plenty Rd,h,3072.0,,-37.73972,3.0,581.0,,145.0111,3.0,996000.0
97,12.6,22/05/2016,Sweeney,3755.0,,S,Brimbank City Council,Sunshine,,Western Metropolitan,14a Staughton St,u,3020.0,,,,,,,2.0,470000.0
98,31.7,9/12/2017,YPA,14092.0,1.0,SP,Hume City Council,Sunbury,2.0,Western Metropolitan,13A Keith Av,h,3429.0,,-37.57886,3.0,,,144.69987,3.0,453000.0
99,,4/03/2017,Douglas,4217.0,0.0,S,Brimbank City Council,Sunshine North,2.0,Western Metropolitan,10 Gresford St,h,3020.0,,-37.7692,3.0,630.0,,144.8348,3.0,701000.0
100,13.0,7/05/2016,Stockdale,8870.0,,SP,Moreland City Council,Glenroy,,Northern Metropolitan,1/23 Gordon Ct,t,3046.0,,,,,,,3.0,500000.0
101,6.3,11/11/2017,Jas,6543.0,,S,Maribyrnong City Council,Yarraville,1.0,Western Metropolitan,11 Ovens St,h,3013.0,98.0,-37.8186,3.0,199.0,1950.0,144.8929,3.0,1040000.0
102,14.3,17/03/2018,Jellis,10999.0,1.0,VB,Manningham City Council,Doncaster East,2.0,Eastern Metropolitan,34 McKenzie St,h,3109.0,,-37.7829,3.0,654.0,1970.0,145.16947,3.0,1120000.0
103,3.0,6/01/2018,Jellis,4019.0,,VB,Yarra City Council,Abbotsford,,Northern Metropolitan,1009/1 Acacia Pl,u,3067.0,,,,,,,2.0,750000.0
104,7.8,24/09/2016,Nelson,11204.0,1.0,S,Darebin City Council,Coburg,1.0,Northern Metropolitan,50a Rennie St,h,3058.0,,-37.7509,2.0,483.0,,144.9696,2.0,860000.0
105,10.7,14/05/2016,RT,6938.0,,S,Bayside City Council,Brighton East,,Southern Metropolitan,2/25 Primrose Cr,h,3187.0,,,,,,,3.0,805000.0
106,16.7,27/05/2017,Win,7392.0,2.0,S,Monash City Council,Wheelers Hill,2.0,South-Eastern Metropolitan,5 Rubens Ct,h,3150.0,,-37.91075,4.0,702.0,,145.18758,4.0,1035000.0
107,11.2,7/11/2016,Marshall,,1.0,PI,Bayside City Council,Brighton,1.0,Southern Metropolitan,30a Rooding St,u,3186.0,,-37.9039,2.0,611.0,,145.0009,2.0,985000.0
108,9.2,27/06/2016,hockingstuart,7809.0,2.0,PI,Boroondara City Council,Balwyn North,2.0,Southern Metropolitan,43 Helston St,h,3104.0,198.0,-37.7839,4.0,701.0,1960.0,145.0954,4.0,1530000.0
109,17.9,,Love,10529.0,,S,Whittlesea City Council,Mill Park,1.0,Northern Metropolitan,1/59 Heritage Dr,u,3082.0,,-37.65372,2.0,,1990.0,145.04582,2.0,397000.0
110,10.7,3/09/2016,Gary,6938.0,,S,Bayside City Council,Brighton East,,Southern Metropolitan,1 Sunnyside Av,h,3187.0,,,,,,,5.0,1952000.0
111,3.6,23/09/2017,Nelson,6244.0,,S,Moreland City Council,Fitzroy North,2.0,Northern Metropolitan,397 Rae St,h,3068.0,,-37.78305,3.0,175.0,,144.97997,,1730000.0
112,12.0,3/09/2017,Stockdale,21650.0,3.0,S,Darebin City Council,Reservoir,2.0,Northern Metropolitan,1 Cameron St,h,3073.0,135.0,-37.727470000000004,3.0,488.0,1950.0,145.00035,3.0,861000.0
113,22.2,18/11/2017,Buxton,3940.0,2.0,S,Kingston City Council,Dingley Village,3.0,South-Eastern Metropolitan,8 Mungari St,h,3172.0,,-37.9785,5.0,620.0,,145.1321,5.0,1105000.0
114,22.7,10/03/2018,Eview,11806.0,5.0,S,Greater Dandenong City Council,Noble Park,3.0,South-Eastern Metropolitan,24 Holmes St,h,3174.0,,-37.97231,4.0,661.0,,145.18881000000002,4.0,920000.0
115,16.3,23/09/2017,HAR,8279.0,1.0,S,Whittlesea City Council,Lalor,1.0,Northern Metropolitan,31 Nancye Dr,h,3075.0,119.0,-37.66223,3.0,,1970.0,145.00351,3.0,630000.0
116,7.9,9/09/2017,hockingstuart,5682.0,,PI,Boroondara City Council,Balwyn,,Southern Metropolitan,7A Relowe Cr,h,3103.0,,,,,,,5.0,2936000.0
117,8.9,9/09/2017,Miles,2890.0,2.0,S,Banyule City Council,Heidelberg,2.0,Eastern Metropolitan,45 Martin St,h,3084.0,,-37.751129999999996,4.0,,,145.06034,4.0,1420000.0
118,7.4,3/09/2016,Jellis,4675.0,,S,Stonnington City Council,Malvern,,Southern Metropolitan,39 McKinley Av,h,3144.0,,,,,,,3.0,2500000.0
119,13.0,30/07/2016,hockingstuart,3145.0,4.0,PI,Monash City Council,Hughesdale,1.0,Southern Metropolitan,1051 North Rd,h,3166.0,83.0,-37.9084,2.0,575.0,1950.0,145.0775,2.0,677500.0
120,16.0,16/09/2017,Buxton,4794.0,2.0,PI,Bayside City Council,Highett,2.0,Southern Metropolitan,21 Noyes St,h,3190.0,176.0,-37.9516,4.0,,1950.0,145.02552,4.0,1060000.0
121,6.4,3/03/2018,Jas,5058.0,,SP,Maribyrnong City Council,West Footscray,,Western Metropolitan,9/21 Hampton Pde,u,3012.0,,,,,,,1.0,260000.0
122,7.5,20/05/2017,Jellis,6482.0,1.0,S,Boroondara City Council,Hawthorn East,1.0,Southern Metropolitan,2/24 Selwood St,u,3123.0,,-37.8362,1.0,0.0,1960.0,145.0543,1.0,375000.0
123,7.3,7/10/2017,Fletchers,10412.0,,SP,Boroondara City Council,Glen Iris,,Southern Metropolitan,1/3 Mills St,u,3146.0,,,,,,,2.0,985000.0
124,6.2,23/09/2017,Nelson,6232.0,1.0,S,Moonee Valley City Council,Moonee Ponds,1.0,Western Metropolitan,5/74 Holmes Rd,u,3039.0,,-37.76592,2.0,,1970.0,144.91456000000002,2.0,561000.0
125,9.2,22/04/2017,Barry,3445.0,,S,Darebin City Council,Coburg North,,Northern Metropolitan,17a Shorts Rd,t,,,,,,,,3.0,801000.0
126,6.3,28/10/2017,Jellis,4836.0,,S,Stonnington City Council,Armadale,,Southern Metropolitan,11/60 Wattletree Rd,u,3143.0,,,,,,,2.0,870000.0
127,2.4,10/02/2018,Biggin,438.0,,S,Yarra City Council,Burnley,,Northern Metropolitan,9/50 Gibdon St,h,3121.0,,,,,,,3.0,1213000.0
128,16.2,11/11/2017,Buckingham,3891.0,,S,Banyule City Council,Montmorency,,Eastern Metropolitan,2/31 Hoban Av,u,3094.0,,,,,,,2.0,690000.0
129,5.1,14/10/2017,hockingstuart,7570.0,4.0,VB,,Footscray,3.0,Western Metropolitan,61 Ballarat Rd,h,3011.0,,-37.79504,4.0,,,144.90366,4.0,1300000.0
130,13.0,20/05/2017,Eview,8870.0,,S,Moreland City Council,Glenroy,,Northern Metropolitan,2/25 Prospect St,t,3046.0,,,,,,,3.0,580000.0
131,9.2,18/06/2016,Marshall,7809.0,4.0,PI,Boroondara City Council,Balwyn North,5.0,Southern Metropolitan,9 Stephens St,h,3104.0,518.0,-37.7961,5.0,1364.0,2013.0,145.0859,5.0,4000000.0
132,13.4,17/03/2018,Noel,2867.0,2.0,S,Whitehorse City Council,Blackburn North,2.0,Eastern Metropolitan,19 Kurrajong Wy,t,3130.0,200.0,-37.80862,3.0,278.0,1990.0,145.14473999999998,3.0,900000.0
133,4.6,12/08/2017,hockingstuart,7717.0,2.0,VB,Stonnington City Council,Prahran,1.0,Southern Metropolitan,4/24 Grandview Gr,u,3181.0,50.0,-37.851259999999996,1.0,0.0,1960.0,145.00832,1.0,400000.0
134,11.1,20/05/2017,RT,5132.0,2.0,S,Hobsons Bay City Council,Altona North,1.0,Western Metropolitan,68 Chambers Rd,h,3025.0,,-37.8367,3.0,534.0,,144.8425,3.0,750000.0
135,9.4,22/04/2017,Barry,2674.0,0.0,S,Banyule City Council,Heidelberg West,2.0,Eastern Metropolitan,1 Normanby Ct,h,3081.0,,-37.7348,3.0,747.0,,145.0402,3.0,810000.0
